n_tplus,Tzplus
"0,321251452","-107022,474174739"
"0,2937403023","-74390,3764651785"
"0,2778500617","-13601,8152507492"
"0,2750355601","13284,1453805616"
"0,2775115669","-55348,9445456648"
"0,2692478895","-175703,579717982"
"0,2419803143","-303225,684982182"
"0,1904821694","-150630,668431341"
"0,1114336327","-192677,96010266"
"0,0052284454","-567461,371716706"
"-0,1230299398","-691832,341875592"
"-0,2765357494","-804622,92309755"
"-0,4587819278","-1065426,41860378"
"-0,6690661311","-1357951,42558626"
"-0,9202269316","-1175386,84502897"
"-1,1739157438","-962346,921806217"
"-1,3643145561","-387529,446851332"
"-1,4443792105","348960,175393654"
"-1,3676174879","494320,72176717"
"-1,1128481627","880150,074019383"
"-0,6445161104","3888442,1924669"
"0,1019058451","6884753,72954539"
"1,2119988203","2881938,63738493"
"2,7642996311","72,9451517502"
"4,8096981049","43,8090152468"
"7,3470134735","49,7116663674"
"10,27917099","53,5295716079"
"13,436205864","54,4744873782"
"16,6715202332","55,3880931303"
"19,9181365967","55,9278543447"
"23,2069168091","57,5479799827"
"26,6069488525","59,9157533588"
"30,1422348022","61,3295579648"
"33,7663879395","61,6088779894"
"37,4079093933","61,0410280028"
"41,0119132996","60,2988171505"
"44,5661430359","59,7199110465"
"48,0957489014","60,0135882332"
"51,6443557739","60,8638221789"
"55,2411766052","61,6697009056"
"58,8838500977","61,9509901443"
"62,5434150696","61,488450542"
"66,1804275513","60,5923442504"
"69,7615432739","59,3000582862"
"73,2694015503","57,8660437299"
"76,6980895996","56,6834021208"
"80,0553207397","55,9021940925"
"83,3602523804","55,102915177"
"86,6230697632","54,3454404514"
"89,8391723633","53,311328152"
"92,9970321655","52,3357461112"
"96,0967178345","51,4592217653"
"99,1390838623","50,3938689903"
"102,1216659546","49,5138519741"
"105,0522766113","48,9606317767"
"107,9516067505","48,8456615714"
"110,8498077393","49,3463721423"
"113,7757568359","50,0966119566"
"116,7446517944","50,9860737276"
"119,767364502","51,9457588502"
"122,851890564","53,0476262415"
"125,9957275391","53,9601042063"
"129,1916351318","54,7592137754"
"132,4388427734","55,8778605611"
"135,7554168701","57,4268705575"
"139,168258667","58,9520965177"
"142,664642334","59,4151029022"
"146,1936645508","58,9958090558"
"149,7015075684","57,9501234073"
"153,1425628662","56,3155631409"
"156,4912414551","54,6152940331"
"159,7428131104","53,2914225437"
"162,9097900391","52,5046047314"
"166,0309906006","52,3190736408"
"169,1477966309","52,6365004803"
"172,2876586914","53,0113741421"
"175,440826416","52,733804769"
"178,5726928711","52,1554104603"
"181,6713104248","52,0201137021"
"184,7725830078","52,688186825"
"187,9233398438","53,3834473456"
"191,1094360352","52,6400720761"
"194,245223999","50,2636870221"
"197,2325744629","47,0861091791"
"200,0256500244","44,6188231075"
"202,6728210449","44,0747803052"
"205,2910003662","45,1136340044"
"207,9743499756","46,3432505727"
"210,732925415","46,5750606064"
"213,5026397705","45,2811496192"
"216,1962738037","43,4733377107"
"218,7833251953","42,5155192754"
"221,3111724854","42,7733811148"
"223,8555755615","44,5063258623"
"226,5040588379","47,6646281283"
"229,3332061768","51,260621905"
"232,3748168945","54,3135491221"
"235,6065063477","56,2372126207"
"238,9559936523","56,2751539949"
"242,3200073242","54,8310804213"
"245,6119384766","52,6843694533"
"248,7726287842","50,2880134564"
"251,7733917236","47,9725856796"
"254,6265563965","46,7696843367"
"257,4071960449","46,5962135101"
"260,1892089844","46,6641699601"
"262,9940490723","46,9479523153"
"265,806427002","46,989740426"
"268,6034545898","46,4999944907"
"271,3790893555","46,3037930894"
"274,1607055664","47,6126211666"
"277,0133361816","50,2405558944"
"280,0098876953","52,9013253263"
"283,1845397949","55,7114578749"
"286,527130127","58,112118919"
"289,9956359863","58,9787818614"
"293,5341796875","59,2910210378"
"297,0897827148","59,1821417221"
"300,6236877441","58,0049989718"
"304,0994873047","56,2126822328"
"307,4581298828","53,2796861914"
"310,6506347656","50,8017713992"
"313,6967163086","49,5924804105"
"316,6672973633","49,3366362677"
"319,6220092773","49,562208551"
"322,5883789063","49,5863677181"
"325,559387207","49,1933529725"
"328,5132446289","48,8260869812"
"331,4445495605","48,7681797377"
"334,3729858398","49,2739050537"
"337,326965332","50,7821908524"
"340,3693237305","53,4449331352"
"343,5907592773","57,5842088163"
"347,0454406738","61,2519353853"
"350,7272644043","64,2775275557"
"354,5803222656","65,6794113304"
"358,5142822266","64,4982084684"
"362,4163208008","61,9774862884"
"366,1547546387","57,8619797814"
"369,6195068359","52,866561904"
"372,7993469238","49,5958633909"
"375,7875976563","49,0278867618"
"378,7323913574","50,4174301066"
"381,7680969238","52,756388615"
"384,9555053711","54,7327409592"
"388,26953125","55,4126774649"
"391,6209716797","54,6105775009"
"394,9255065918","54,0886978275"
"398,1871948242","54,9373122299"
"401,4921264648","57,4100933055"
"404,9612731934","61,2972467841"
"408,6731567383","65,2363305732"
"412,6151123047","67,0414435331"
"416,6599731445","64,7938401129"
"420,5871582031","59,5686895387"
"424,2121582031","54,0928424299"
"427,49609375","50,5653386868"
"430,5503540039","50,0599853946"
"433,5722351074","52,2914595847"
"436,7398071289","55,5459957572"
"440,1267089844","58,2438158964"
"443,671081543","59,4976632293"
"447,2662353516","59,157952517"
"450,848449707","59,2748888961"
"454,4413146973","60,8996996667"
"458,1301269531","63,3397260932"
"461,9817810059","65,0819474709"
"465,9505615234","64,1797398054"
"469,8622436523","60,5499147135"
"473,5416564941","55,7745442065"
"476,9307250977","52,5496032387"
"480,1373901367","53,1330560273"
"483,3767700195","56,7490276752"
"486,8297119141","60,6813836458"
"490,5317382813","62,9833000096"
"494,4031982422","64,1067812087"
"498,3394775391","64,7609266289"
"502,2758178711","64,2879209093"
"506,2148132324","64,8360967996"
"510,1879272461","65,0536055343"
"514,1544189453","63,0258065788"
"518,0020141602","59,7909023821"
"521,638671875","55,9879071218"
"525,0839233398","55,2659802317"
"528,4907836914","58,0992867314"
"532,0435791016","61,9424314307"
"535,8286743164","65,2673040924"
"539,8189086914","66,9670393653"
"543,9143676758","66,7420586888"
"548,0166015625","65,6856450739"
"552,0700683594","64,2132679059"
"556,032409668","62,2312499298"
"559,8563232422","59,655119992"
"563,51953125","57,4744623364"
"567,0682373047","57,7720339044"
"570,6317138672","60,3391406193"
"574,3546142578","63,8249496252"
"578,3017578125","66,9480153092"
"582,4443969727","68,4893329875"
"586,6874389648","67,9571732268"
"590,9249267578","66,3521810378"
"595,073059082","64,0438081911"
"599,0588989258","61,1089656726"
"602,8499145508","59,0645174701"
"606,5062866211","59,4136817426"
"610,1866455078","62,4246766945"
"614,0718994141","67,050883886"
"618,2420654297","71,0072595211"
"622,655090332","72,8423311346"
"627,1798706055","72,237653959"
"631,6575927734","69,0327152112"
"635,9488525391","64,139136924"
"639,9509277344","59,4524213742"
"643,6667480469","57,2055096089"
"647,2449951172","58,9065447779"
"650,9364013672","64,0425404613"
"654,953125","70,36666608"
"659,3555297852","75,4045965886"
"664,0463867188","76,457052153"
"668,8231201172","73,7547200594"
"673,4597167969","68,6531009116"
"677,7637329102","62,5654722433"
"681,6719360352","58,3451168069"
"685,3287353516","59,3022116356"
"689,0610961914","65,717012718"
"693,198059082","74,5155459453"
"697,8917236328","82,2664598979"
"703,0522460938","85,1212501722"
"708,387878418","81,07440937"
"713,5061035156","71,9335352655"
"718,0422973633","60,9838488732"
"721,8775634766","53,6137102484"
"725,2738647461","54,0303549374"
"728,6927490234","60,9974505705"
"732,5490112305","70,7557323813"
"737,0341796875","79,0054166715"
"742,0454101563","81,5796718752"
"747,2363891602","77,5173150895"
"752,1646118164","68,6616928925"
"756,5307617188","60,144401292"
"760,3646240234","57,3762433399"
"764,0149536133","61,5474740529"
"767,9371948242","70,7859879402"
"772,453918457","80,4390272304"
"777,5856933594","85,6653116475"
"783,0266723633","82,9031691537"
"788,2822875977","72,9428895778"
"792,9641723633","63,8999371057"
"797,0404052734","59,5719357892"
"800,8488769531","62,9180510639"
"804,8782958984","72,0494383331"
"809,4949951172","81,2802475343"
"814,729309082","85,457653158"
"820,2379760742","81,3450147798"
"825,5009155273","73,1139956005"
"830,1773071289","64,6968628859"
"834,3391113281","62,0991098978"
"838,3999023438","68,0589094137"
"842,848449707","78,880119559"
"847,9396972656","86,5733522266"
"853,5120239258","85,7044674037"
"859,0660400391","77,8170781557"
"864,1240234375","68,5758861223"
"868,579284668","64,4148816623"
"872,7471313477","68,10474398"
"877,1502685547","76,8149463482"
"882,1696166992","84,3603382666"
"887,7538452148","86,3639305528"
"893,4301147461","80,7732168003"
"898,6655273438","69,9863270452"
"903,2661132813","64,5049162931"
"907,5234375","68,1086906135"
912,"77,7266740834"
"917,117980957","85,9680268837"
"922,8316040039","88,1528998457"
"928,6558227539","81,6783552609"
"934,060546875","71,4983282384"
"938,8746337891","68,6581916807"
"943,3933105469","73,689362766"
"948,1530151367","81,2653230105"
"953,5000610352","85,5876672432"
"959,2987060547","83,8082598165"
"965,0744018555","77,0305858974"
"970,4177246094","70,4401554597"
"975,3036499023","69,7588307958"
"980,1000976563","76,6540008953"
"985,2483520508","84,974445128"
"990,8746948242","87,1047494332"
"996,7172241211","82,7859869528"
"1002,3953857422","78,4795045673"
"1007,7279052734","76,2729157438"
"1012,8752441406","77,1879450204"
"1018,1695556641","81,6952188292"
"1023,7822265625","84,2872798898"
"1029,5910644531","83,239326025"
"1035,3366699219","81,1548326983"
"1040,8688964844","78,4715261517"
"1046,2796630859","79,228017875"
"1051,7836914063","82,7524286539"
"1057,4760742188","84,4652840527"
"1063,2608642578","84,013523645"
"1068,9866943359","81,7361401146"
"1074,6101074219","81,2030952382"
"1080,2431640625","83,29240394"
"1085,9958496094","85,4433377118"
"1091,8374023438","84,4152560927"
"1097,6364746094","80,2544153156"
"1103,3043212891","77,6615974035"
"1108,9163818359","81,1069490257"
"1114,6384277344","83,4520661739"
"1120,5297851563","83,6024803338"
"1126,4946289063","82,7618305714"
"1132,3977050781","81,4041621587"
"1138,2138671875","81,6779600625"
"1144,0611572266","82,4337151887"
"1150,0336914063","84,6372433866"
"1156,0841064453","83,1809123549"
"1162,0899658203","80,3913104343"
"1167,9984130859","80,0075147576"
"1173,8953857422","81,1726692032"
"1179,8819580078","81,911554365"
"1185,9323730469","81,1340989832"
"1191,9370117188","79,2234466671"
"1197,8287353516","78,0632567305"
"1203,6754150391","78,573148999"
"1209,5872802734","79,5412130323"
"1215,5651855469","79,1524318945"
"1221,5166015625","77,4075748776"
"1227,3809814453","77,1134238873"
"1233,2225341797","77,716212628"
"1239,1350097656","77,9579153634"
"1245,1049804688","77,0139228527"
"1251,0356445313","75,4899099407"
"1256,869140625","75,3303746659"
"1262,6745605469","75,3797166871"
"1268,5339355469","75,1855574558"
"1274,4338378906","74,6048823141"
"1280,2966308594","73,6492917316"
"1286,0833740234","73,2917110292"
"1291,8529052734","73,082979255"
"1297,6479492188","72,1421528758"
"1303,4254150391","70,559762059"
"1309,1160888672","69,3818006095"
"1314,7271728516","69,2982470948"
"1320,3204345703","68,8450161437"
"1325,8958740234","67,0340376124"
"1331,384765625","65,3432780446"
"1336,7416992188","64,1471526391"
"1342,0239257813","63,4352163321"
"1347,2835693359","62,536938031"
"1352,4937744141","60,8265905523"
"1357,5925292969","59,558223761"
"1362,5864257813","58,5450148321"
"1367,5228271484","57,4521956311"
"1372,3940429688","55,885096817"
"1377,1474609375","54,0130880321"
"1381,7642822266","52,8340327948"
"1386,3032226563","51,9278940294"
"1390,7893066406","50,613851692"
"1395,1787109375","48,7595426733"
"1399,4190673828","47,2515548144"
"1403,5462646484","46,2570108742"
"1407,6103515625","45,1480690186"
"1411,5938720703","43,5240458598"
"1415,4448242188","42,0344598229"
"1419,1831054688","41,4619573063"
"1422,8806152344","40,9200988719"
"1426,5421142578","39,7266764692"
"1430,1121826172","38,4843542184"
"1433,5725097656","37,6785810298"
"1436,9709472656","36,8247860689"
"1440,3081054688","35,2752413089"
"1443,5118408203","32,9885194343"
"1446,51171875","30,5996705402"
"1449,3040771484","27,8388630088"
"1451,8575439453","24,8969767171"
"1454,1441650391","22,6253098083"
"1456,2233886719","21,7288531696"
"1458,2293701172","21,9186741478"
"1460,2584228516","22,0127058791"
"1462,296875","21,3057476622"
"1464,2736816406","20,3569950059"
"1466,1669921875","19,3539692459"
"1467,970703125","17,9293425345"
"1469,6428222656","16,2046224146"
"1471,1561279297","15,2631660111"
"1472,5852050781","15,2878929013"
"1474,0206298828","15,3228680286"
"1475,4602050781","14,7099978258"
"1476,8410644531","13,8393777602"
"1478,1412353516","12,9868827654"
"1479,3638916016","11,8206211678"
"1480,478515625","10,3539156536"
"1481,4556884766","9,4115991241"
"1482,345703125","9,3091174438"
"1483,2268066406","9,3034666901"
"1484,1069335938","8,7751582486"
"1484,9367675781","8,158492752"
"1485,7081298828","7,8335449756"
"1486,4495849609","7,3139751754"
"1487,1422119141","6,2428259128"
"1487,7337646484","5,2654769156"
"1488,2342529297","4,8987706174"
"1488,7010498047","4,655749709"
"1489,1446533203","4,2085894575"
"1489,5451660156","3,8984700015"
"1489,9165039063","4,1224261126"
"1490,3090820313","4,4566058318"
"1490,7331542969","4,3602799371"
"1491,1481933594","4,1124025941"
"1491,5397949219","4,1288162539"
"1491,9333496094","3,989737648"
"1492,3138427734","3,3806105125"
"1492,6362304688","2,8094068354"
"1492,9044189453","2,7903933862"
"1493,1711425781","2,8628068853"
"1493,4450683594","2,5313451744"
"1493,6873779297","2,0510158481"
"1493,8837890625","1,8982365746"
"1494,0656738281","1,7434529445"
"1494,2326660156","1,2945178813"
"1494,3565673828","0,9169074066"
"1494,4443359375","1,1279627263"
"1494,5523681641","1,4203240847"
"1494,6884765625","1,1936956184"
"1494,8028564453","0,8092497968"
"1494,8803710938","0,9050249602"
"1494,9670410156","1,0873827349"
"1495,0711669922","0,8672546085"
"1495,1541748047","0,5469979237"
"1495,2065429688","0,718377587"
"1495,275390625","0,9543315905"
"1495,3668212891","0,7926715503"
"1495,4427490234","0,5361470682"
